Date,NIFTY,GOLD,Ratio,Up,Dn,Signal,Target,RetN,RetG,Held,StratRet,StratEq,NiftyEq,GoldEq,BalEq
2025-09-18,286.70001220703125,91.5999984741211,3.1299128491582886,3.442007586637034,3.077108853562317,,GOLD,0.002517662749294658,0.003835599716395466,GOLD,0.003835599716395466,206080.3768061084,176506.81840471417,217061.60383429535,199010.0663871445
2025-09-19,285.8999938964844,91.29000091552734,3.131777752538681,3.4289519938735635,3.077108853562317,,GOLD,-0.0027904369601811085,-0.0033842528794509885,GOLD,-0.0033842528794509885,205382.94869750398,176014.2872549137,216327.01247650088,198395.6536696919
2025-09-22,284.489990234375,93.13999938964844,3.0544341002646944,3.3980875171492846,3.077108853562317,GOLD,GOLD,-0.004931807248026332,0.020265072358066183,GOLD,0.020265072358066183,209545.0490139719,175146.21871727373,220710.89503734146,199916.68024689044
2025-09-23,284.3500061035156,95.12999725341795,2.989067742176342,3.3734130859375,3.0544341002646944,GOLD,GOLD,-0.0004920529215950431,0.02136566326830658,GOLD,0.02136566326830658,214022.11797074525,175060.03750864757,225426.52970035584,202003.17168953127
2025-09-24,282.8800048828125,94.63999938964844,2.9890110598812347,3.3287603685771976,2.989067742176342,GOLD,GOLD,-0.005169689429048163,-0.005150823903255275,GOLD,-0.005150823903255275,212919.7277296762,174155.03148329034,224265.39734274734,200960.78347623657
2025-09-25,281.239990234375,94.43000030517578,2.978290684374381,3.2803837797008213,2.9890110598812347,GOLD,GOLD,-0.005797562995365824,-0.00221892525176437,GOLD,-0.00221892525176437,212447.274769218,173145.35671730604,223767.76918948654,200155.28359680093
2025-09-26,278.739990234375,94.22000122070312,2.958395103195212,3.2348255144701024,2.978290684374381,GOLD,GOLD,-0.008889205258173272,-0.0022238598304986645,GOLD,-0.0022238598304986645,211974.82180875982,171606.23210194628,223270.14103622574,199043.11424957452
2025-09-29,278.5400085449219,95.9000015258789,2.904483880219303,3.211869191957186,2.958395103195212,GOLD,GOLD,-0.0007174488643878485,0.017830612220440356,GOLD,0.017830612220440356,215754.46265692878,171483.11340560284,227251.1843414457,200746.24291409968
2025-09-30,277.5199890136719,95.8499984741211,2.895357260632618,3.206096186571244,2.904483880219303,GOLD,GOLD,-0.003662021612545141,-0.0005214082477811299,GOLD,-0.0005214082477811299,215641.96650060388,170855.138538125,227132.69369961205,200326.3390006221
2025-10-01,280.510009765625,97.62999725341795,2.8731948955965434,3.1741011738659024,2.895357260632618,GOLD,GOLD,0.010774073473337475,0.018570670919493493,GOLD,0.018570670919493493,219646.58249691903,172695.94435403202,231350.70020936563,203265.60160718454
2025-10-03,281.1600036621094,97.06999969482422,2.8964665143302852,3.168330259998262,2.8731948955965434,,GOLD,0.002317186103367508,-0.005735916975805666,GOLD,-0.005735916975805666,218386.70793569722,173096.1129963971,230023.6918006702,202918.14641342495
2025-10-06,283.07000732421875,99.22000122070312,2.8529530723806693,3.153976325898812,2.8731948955965434,GOLD,GOLD,0.006793297898817663,0.02214898045367497,GOLD,0.02214898045367497,223223.75086110743,174272.00645710903,235118.48205424543,205854.60315155957
2025-10-07,283.4100036621094,99.66000366210938,2.8437687462163073,3.1340275176583905,2.8529530723806693,GOLD,GOLD,0.0012011033634560242,0.004434614351873645,GOLD,0.004434614351873645,224213.66211035516,174481.3251502209,236161.14184915397,206434.67236844127
2025-10-08,282.3800048828125,101.69000244140624,2.7768708634412693,3.1340275176583905,2.8437687462163073,GOLD,GOLD,-0.003634306361764428,0.020369242471427462,GOLD,0.020369242471427462,228780.72455928772,173847.20656021836,240971.56540980854,208162.00789489385
2025-10-09,284.04998779296875,101.47000122070312,2.79934940746816,3.1340275176583905,2.7768708634412693,,GOLD,0.005913955950419769,-0.0021634498517184575,GOLD,-0.0021634498517184575,228285.76893466388,174875.33128191903,240450.2355123543,208552.3643349577
2025-10-10,285.5199890136719,100.66999816894533,2.8361974193593364,3.1340275176583905,2.7768708634412693,,GOLD,0.005175149740807461,-0.007884133656584358,GOLD,-0.007884133656584358,226485.93342048686,175780.33730727626,238554.4937178177,208269.8818346674
